Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
WAVES-USD,Waves USD,2.3328,-0.1379,-5.58%,264.773M,63.689M,63.689M,63.689M,113.502M,,
BDX-USD,Beldex USD,0.044082,-0.001123,-2.48%,260.643M,2.303M,2.303M,2.303M,5.913B,,
ZRX-USD,0x Protocol USD,0.307763,-0.01535,-4.75%,260.828M,45.693M,45.693M,45.693M,847.496M,,
ANT-USD,Aragon USD,5.92,-0.0286,-0.48%,255.622M,8.822M,8.822M,8.822M,43.179M,,
JASMY-USD,JasmyCoin USD,0.005184,-0.000275,-5.04%,255.564M,32.274M,32.274M,32.274M,49.3B,,
JST-USD,JUST USD,0.028314,-0.001097,-3.73%,252.05M,48.649M,48.649M,48.649M,8.902B,,
RVN-USD,Ravencoin USD,0.018667,-0.001104,-5.59%,249.942M,12.448M,12.448M,12.448M,13.389B,,
FLEX-USD,FLEX USD,2.5379,2.13,+522.22%,250.404M,231681,231681,231681,98.665M,,
MOBILE-USD,Helium Mobile USD,0.003109,0.000176,+6.01%,249.803M,4.617M,4.617M,4.617M,80.351B,,
YFI-USD,yearn.finance USD,7482.53,-216.8,-2.82%,248.75M,40.371M,40.371M,40.371M,33244,,
SUSHI-USD,SushiSwap USD,1.065,-0.0359,-3.26%,247.091M,43.543M,43.543M,43.543M,232.007M,,
VBIT-USD,Valobit USD,0.204853,0.013531,+7.07%,245.989M,28945,28945,28945,1.201B,,
MAGIC14783-USD,Treasure USD,0.955303,-0.0671,-6.56%,245.528M,63.104M,63.104M,63.104M,257.016M,,
SUPER8290-USD,SuperVerse USD,0.5014,-0.049491,-8.98%,244.571M,11.112M,11.112M,11.112M,487.776M,,
OCEAN-USD,Ocean Protocol USD,0.422517,-0.021103,-4.76%,240.151M,26.217M,26.217M,26.217M,568.381M,,
DCR-USD,Decred USD,15.25,-0.95,-5.85%,240.552M,1.722M,1.722M,1.722M,15.771M,,
