id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.998109,5310633624,22,5310633624.0,284329125.0,1.008,0.988484,-0.006262419821798427,-0.62352,-18192485.655125618,-0.3414,5320693082.35734,5320693082.35734,,1.22,-18.416,2020-03-13T03:02:50.373Z,0.88196,12.75481,2023-03-11T07:50:50.514Z,,2024-01-11T15:40:17.555Z,-0.5486029797622796,-0.6235161004713825,-0.09840091919068215
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,6.75,5143702820,23,6823998785.0,402875761.0,6.99,6.14,0.525319,8.44599,433736500.0,9.20891,753766667.0,1000000000.0,1000000000.0,44.92,-84.75354,2021-05-03T05:25:04.822Z,1.03,564.78423,2020-09-17T01:20:38.214Z,,2024-01-11T15:41:59.665Z,-2.8669590740394466,8.44599275313736,1.1260989907824397
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,30.6,4381260673,24,6446354463.0,1473140361.0,32.04,21.07,9.19,42.91118,1314329873.0,42.85489,143202119.751449,210700000.0,210700000.0,167.09,-81.62388,2021-05-06T18:34:22.133Z,0.615038,4892.1807,2016-07-25T00:00:00.000Z,"{'times': 67.00945090125242, 'currency': 'usd', 'percentage': 6700.945090125242}",2024-01-11T15:41:46.788Z,-0.49977684594813737,42.9111820333763,50.87938462789442
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,10.64,4086289270,25,4086289270.0,321895384.0,10.89,9.58,1.062,11.0837,425710313.0,11.62959,382396626.683656,382396626.683656,,44.45,-75.95828,2022-01-17T00:34:41.497Z,1.16,821.16604,2020-03-13T02:27:44.591Z,"{'times': 105.445909019793, 'currency': 'usd', 'percentage': 10544.5909019793}",2024-01-11T15:41:52.593Z,-1.7145674645106281,11.08369770354402,4.646596334021418
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,4.06,3770062353,26,4002792990.0,2396061.0,4.11,3.96,0.05516,1.37638,45991689.0,1.23498,927955647.9,985239504.0,,8.14,-49.97453,2022-02-08T17:40:10.285Z,0.799859,408.80754,2019-12-24T15:14:35.376Z,,2024-01-11T15:41:55.732Z,-0.7230021193548519,1.3763826795451506,0.34971962417610447
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,3.7,3764829949,27,4350925052.0,445343003.0,3.8,3.16,0.540818,17.10817,549792205.0,17.10065,1013883365.91323,1171721059.45363,,20.44,-81.87041,2022-01-16T22:09:45.873Z,0.526762,603.41922,2020-11-04T16:09:15.137Z,,2024-01-11T15:42:11.120Z,-2.046937627367036,17.108168987739383,-3.144065258129662
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,3.77,3657214390,28,16406901852.0,753802054.0,4.08,3.62,0.051123,1.37464,123703126.0,3.50086,957378568.0,4294967296.0,4294967296.0,4.13,-7.19979,2023-12-27T19:10:43.356Z,0.402159,853.68935,2022-06-18T20:54:52.178Z,,2024-01-11T15:42:02.223Z,-2.7528254447993583,1.3746411802278158,5.001118345417701
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.123811,3518340717,29,6221952416.0,150933212.0,0.126035,0.11465,0.00916131,7.9907,273645140.0,8.43362,28274617282.5977,50001787052.8864,50001787052.8864,0.875563,-85.78679,2018-01-03T00:00:00.000Z,0.00047612,26037.25311,2015-03-05T00:00:00.000Z,,2024-01-11T15:41:43.521Z,-1.6040172355264866,7.990696153045174,2.431205199868953
injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,39.5,3332522917,30,3955255996.0,531172797.0,42.64,37.2,2.3,6.18762,191246420.0,6.08818,84255555.66,100000000.0,,45.01,-11.30799,2024-01-09T06:31:10.010Z,0.657401,5972.81422,2020-11-03T16:19:30.576Z,,2024-01-11T15:41:56.229Z,-2.7276925740356597,6.187620818539455,3.549712149372132
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,55.18,3330068441,31,13095920687.0,18912013.0,56.32,53.3,1.4,2.60944,103337990.0,3.20256,60000000.0,235957685.3,300000000.0,64.92,-15.0131,2023-11-14T16:15:10.918Z,0.580608,9402.98148,2019-01-14T00:00:00.000Z,,2024-01-11T15:42:00.707Z,-1.1149478109967979,2.609442604761554,1.4918045901455856
lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,3.69,3285381054,32,3690693149.0,363659770.0,4.01,3.64,-0.19400485642169496,-4.99408,-171085201.53676987,-4.94971,890179953.135538,1000000000.0,1000000000.0,7.3,-48.90245,2021-08-20T08:35:20.158Z,0.40615,818.77154,2022-06-18T20:55:12.035Z,,2024-01-11T15:41:52.897Z,-1.4112251519274928,-4.994078205230531,10.866983593454103
